procedencia,Isla,gasto_persona,gasto_persona_dia,year,month
Sin paquete turístico,Mallorca,817.5,125.01,2017,4
Con paquete turístico,Menorca,844.11,122.99,2017,4
Sin paquete turístico,Menorca,598.51,96.42,2017,4
Con paquete turístico,Eivissa-Formentera,817.74,140.41,2017,4
Sin paquete turístico,Eivissa-Formentera,759.82,137.71,2017,4
Con paquete turístico,Mallorca,835.19,137.58,2017,3
Sin paquete turístico,Mallorca,787.89,125.89,2017,3
Con paquete turístico,Menorca,394.06,90.56,2017,3
Sin paquete turístico,Menorca,456.91,65.88,2017,3
Con paquete turístico,Eivissa-Formentera,,,2017,3
Sin paquete turístico,Eivissa-Formentera,510.06,74.18,2017,3
Con paquete turístico,Mallorca,,,2017,2
Sin paquete turístico,Mallorca,,,2017,2
Con paquete turístico,Menorca,,,2017,2
Sin paquete turístico,Menorca,,,2017,2
Con paquete turístico,Eivissa-Formentera,,,2017,2
Sin paquete turístico,Eivissa-Formentera,,,2017,2
Con paquete turístico,Mallorca,919.71,145.96,2017,1
Sin paquete turístico,Mallorca,698.83,97.26,2017,1
Con paquete turístico,Menorca,346.91,151.04,2017,1
Sin paquete turístico,Menorca,441.11,61.73,2017,1
Con paquete turístico,Eivissa-Formentera,,,2017,1
Sin paquete turístico,Eivissa-Formentera,546.77,77.9,2017,1
Con paquete turístico,Mallorca,880.56,142.85,2016,12
Sin paquete turístico,Mallorca,865.37,94.81,2016,12
Con paquete turístico,Menorca,,,2016,12
Sin paquete turístico,Menorca,435.67,65.05,2016,12
Con paquete turístico,Eivissa-Formentera,836.29,140.99,2016,12
Sin paquete turístico,Eivissa-Formentera,645.07,81.97,2016,12
Con paquete turístico,Mallorca,936.73,144.7,2016,11
Sin paquete turístico,Mallorca,722.13,119.26,2016,11
Con paquete turístico,Menorca,448.32,77.08,2016,11
Sin paquete turístico,Menorca,470.35,73.8,2016,11
Con paquete turístico,Eivissa-Formentera,798.39,125.78,2016,11
Sin paquete turístico,Eivissa-Formentera,893.45,102.03,2016,11
Con paquete turístico,Mallorca,1036.92,131.34,2016,10
Sin paquete turístico,Mallorca,919.15,109.57,2016,10
Con paquete turístico,Menorca,873.15,120.88,2016,10
Sin paquete turístico,Menorca,767.39,95.69,2016,10
Con paquete turístico,Eivissa-Formentera,876.45,126.8,2016,10
Sin paquete turístico,Eivissa-Formentera,776.21,115.33,2016,10
Con paquete turístico,Mallorca,984.72,128.94,2016,9
Sin paquete turístico,Mallorca,923.18,122.69,2016,9
