origen_turistas,Isla,year,month,Num_turistas
Alemania,Mallorca,2016,2,89778.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,2,8167.0
Países nórdicos,Mallorca,2016,2,5625.0
ESPAÑA,Mallorca,2016,1,63516.0
Francia,Mallorca,2016,1,2782.0
Italia,Mallorca,2016,1,
Reino Unido,Mallorca,2016,1,12349.0
Alemania,Mallorca,2016,1,54584.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,1,4082.0
Países nórdicos,Mallorca,2016,1,3363.0
ESPAÑA,Mallorca,2015,12,46586.0
Francia,Mallorca,2015,12,3453.0
Italia,Mallorca,2015,12,
Reino Unido,Mallorca,2015,12,12002.0
Alemania,Mallorca,2015,12,43342.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2015,12,3917.0
Países nórdicos,Mallorca,2015,12,5554.0
ESPAÑA,Mallorca,2015,11,57449.0
Francia,Mallorca,2015,11,2268.0
Italia,Mallorca,2015,11,
Reino Unido,Mallorca,2015,11,10827.0
Alemania,Mallorca,2015,11,77484.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2015,11,5085.0
Países nórdicos,Mallorca,2015,11,4185.0
ESPAÑA,Mallorca,2015,10,59780.0
Francia,Mallorca,2015,10,42135.0
Italia,Mallorca,2015,10,
Reino Unido,Mallorca,2015,10,221093.0
Alemania,Mallorca,2015,10,381298.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2015,10,34777.0
Países nórdicos,Mallorca,2015,10,53767.0
ESPAÑA,Mallorca,2015,9,127590.0
Francia,Mallorca,2015,9,39661.0
Italia,Mallorca,2015,9,20082.0
Reino Unido,Mallorca,2015,9,329145.0
Alemania,Mallorca,2015,9,522905.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2015,9,46816.0
Países nórdicos,Mallorca,2015,9,96982.0
ESPAÑA,Mallorca,2015,8,216777.0
Francia,Mallorca,2015,8,107452.0
Italia,Mallorca,2015,8,93239.0
Reino Unido,Mallorca,2015,8,405316.0
Alemania,Mallorca,2015,8,531246.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2015,8,77661.0
Países nórdicos,Mallorca,2015,8,105629.0
ESPAÑA,Mallorca,2015,7,173840.0
Francia,Mallorca,2015,7,61326.0
Italia,Mallorca,2015,7,45174.0
Reino Unido,Mallorca,2015,7,404482.0
Alemania,Mallorca,2015,7,530571.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2015,7,85455.0
Países nórdicos,Mallorca,2015,7,160565.0
ESPAÑA,Mallorca,2015,6,128715.0
Francia,Mallorca,2015,6,36338.0
Italia,Mallorca,2015,6,19691.0
Reino Unido,Mallorca,2015,6,348534.0
Alemania,Mallorca,2015,6,528137.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2015,6,44632.0
Países nórdicos,Mallorca,2015,6,115468.0
ESPAÑA,Mallorca,2015,5,88921.0
Francia,Mallorca,2015,5,47156.0
Italia,Mallorca,2015,5,12088.0
Reino Unido,Mallorca,2015,5,296425.0
Alemania,Mallorca,2015,5,502773.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2015,5,48745.0
Países nórdicos,Mallorca,2015,5,100372.0
ESPAÑA,Mallorca,2015,4,105839.0
Francia,Mallorca,2015,4,23572.0
Italia,Mallorca,2015,4,7323.0
Reino Unido,Mallorca,2015,4,134435.0
Alemania,Mallorca,2015,4,309834.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2015,4,26347.0
Países nórdicos,Mallorca,2015,4,45360.0
ESPAÑA,Mallorca,2015,3,94678.0
Francia,Mallorca,2015,3,2460.0
Italia,Mallorca,2015,3,2363.0
Reino Unido,Mallorca,2015,3,38126.0
Alemania,Mallorca,2015,3,171357.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2015,3,7023.0
Países nórdicos,Mallorca,2015,3,11799.0
