tipo_alojamiento,Isla,year,month,Num_establecimientos
Otro alojamiento de mercado,Menorca,2021,4,
Alojamiento en propiedad,Menorca,2021,4,1383.0
Alojamiento de familiares o amigos,Menorca,2021,4,1919.0
Hoteles y similares,Menorca,2021,3,1280.0
Alojamiento de alquiler,Menorca,2021,3,191.0
Otro alojamiento de mercado,Menorca,2021,3,
Alojamiento en propiedad,Menorca,2021,3,1105.0
Alojamiento de familiares o amigos,Menorca,2021,3,2203.0
Hoteles y similares,Menorca,2021,2,
Alojamiento de alquiler,Menorca,2021,2,
Otro alojamiento de mercado,Menorca,2021,2,
Alojamiento en propiedad,Menorca,2021,2,761.0
Alojamiento de familiares o amigos,Menorca,2021,2,1009.0
Hoteles y similares,Menorca,2021,1,
Alojamiento de alquiler,Menorca,2021,1,
Otro alojamiento de mercado,Menorca,2021,1,
Alojamiento en propiedad,Menorca,2021,1,788.0
Alojamiento de familiares o amigos,Menorca,2021,1,1664.0
Hoteles y similares,Menorca,2020,12,1250.0
Alojamiento de alquiler,Menorca,2020,12,481.0
Otro alojamiento de mercado,Menorca,2020,12,
Alojamiento en propiedad,Menorca,2020,12,693.0
Alojamiento de familiares o amigos,Menorca,2020,12,2569.0
Hoteles y similares,Menorca,2020,11,1480.0
Alojamiento de alquiler,Menorca,2020,11,545.0
Otro alojamiento de mercado,Menorca,2020,11,
Alojamiento en propiedad,Menorca,2020,11,1387.0
Alojamiento de familiares o amigos,Menorca,2020,11,1431.0
Hoteles y similares,Menorca,2020,10,6208.0
Alojamiento de alquiler,Menorca,2020,10,4479.0
Otro alojamiento de mercado,Menorca,2020,10,459.0
Alojamiento en propiedad,Menorca,2020,10,5554.0
Alojamiento de familiares o amigos,Menorca,2020,10,4090.0
Hoteles y similares,Menorca,2020,9,44928.0
Alojamiento de alquiler,Menorca,2020,9,10665.0
Otro alojamiento de mercado,Menorca,2020,9,1608.0
Alojamiento en propiedad,Menorca,2020,9,6400.0
Alojamiento de familiares o amigos,Menorca,2020,9,7951.0
Hoteles y similares,Menorca,2020,8,73295.0
Alojamiento de alquiler,Menorca,2020,8,38367.0
Otro alojamiento de mercado,Menorca,2020,8,5256.0
Alojamiento en propiedad,Menorca,2020,8,16186.0
Alojamiento de familiares o amigos,Menorca,2020,8,31290.0
Hoteles y similares,Menorca,2020,7,43996.0
Alojamiento de alquiler,Menorca,2020,7,36594.0
Otro alojamiento de mercado,Menorca,2020,7,2670.0
Alojamiento en propiedad,Menorca,2020,7,17771.0
Alojamiento de familiares o amigos,Menorca,2020,7,23728.0
Hoteles y similares,Menorca,2020,6,1928.0
Alojamiento de alquiler,Menorca,2020,6,6277.0
Otro alojamiento de mercado,Menorca,2020,6,189.0
Alojamiento en propiedad,Menorca,2020,6,3062.0
Alojamiento de familiares o amigos,Menorca,2020,6,2839.0
Hoteles y similares,Menorca,2020,5,0.0
Alojamiento de alquiler,Menorca,2020,5,0.0
Otro alojamiento de mercado,Menorca,2020,5,0.0
Alojamiento en propiedad,Menorca,2020,5,0.0
Alojamiento de familiares o amigos,Menorca,2020,5,0.0
Hoteles y similares,Menorca,2020,4,0.0
Alojamiento de alquiler,Menorca,2020,4,0.0
Otro alojamiento de mercado,Menorca,2020,4,0.0
Alojamiento en propiedad,Menorca,2020,4,0.0
Alojamiento de familiares o amigos,Menorca,2020,4,0.0
Hoteles y similares,Menorca,2020,3,1296.0
Alojamiento de alquiler,Menorca,2020,3,
Otro alojamiento de mercado,Menorca,2020,3,
Alojamiento en propiedad,Menorca,2020,3,3940.0
Alojamiento de familiares o amigos,Menorca,2020,3,5318.0
Hoteles y similares,Menorca,2020,2,3024.0
Alojamiento de alquiler,Menorca,2020,2,1417.0
Otro alojamiento de mercado,Menorca,2020,2,
Alojamiento en propiedad,Menorca,2020,2,6363.0
Alojamiento de familiares o amigos,Menorca,2020,2,9512.0
Hoteles y similares,Menorca,2020,1,2371.0
Alojamiento de alquiler,Menorca,2020,1,326.0
Otro alojamiento de mercado,Menorca,2020,1,
Alojamiento en propiedad,Menorca,2020,1,2837.0
Alojamiento de familiares o amigos,Menorca,2020,1,7559.0
Hoteles y similares,Menorca,2019,12,2642.0
Alojamiento de alquiler,Menorca,2019,12,993.0
Otro alojamiento de mercado,Menorca,2019,12,
Alojamiento en propiedad,Menorca,2019,12,3811.0
